"Treatment","Age","Transect","Point","Depth","Macro","Micro","MacroC","MicroC","MacroN","MicroN","Total","Gpos","Gneg","Eubac","Actino","AMF","Fungi","FB","Richness","CN"
1,1,1,1,1,0.22,0.54,2.95,6.51,0.26,0.68,39.13,14.83,9.86,28.16,7.08,2.53,1.36,0.05,10,10.12
1,1,1,2,1,0.27,0.52,3.67,5.11,0.33,0.50,30.19,9.04,8.93,21.84,0.00,2.40,5.94,0.27,7,10.59
1,1,1,3,1,0.23,0.54,6.65,8.65,0.46,0.77,36.99,14.15,8.61,25.29,6.08,2.32,3.30,0.13,10,12.43
1,1,1,4,1,0.21,0.58,4.10,9.51,0.27,0.95,36.59,12.89,9.88,25.62,6.33,2.35,2.30,0.09,9,11.18
1,1,2,1,1,0.19,0.65,2.20,7.43,0.15,0.58,33.15,6.55,13.77,20.32,6.19,3.42,3.22,0.16,6,13.10
1,1,2,2,1,0.16,0.60,2.24,8.23,0.06,0.86,31.39,9.56,9.53,19.09,7.18,2.51,2.61,0.14,7,11.37
1,1,2,3,1,0.15,0.61,2.69,7.76,0.19,0.72,38.78,14.15,9.26,26.51,6.92,2.53,2.82,0.11,10,11.49
1,1,2,4,1,0.20,0.57,5.02,9.79,0.38,0.70,29.34,9.94,8.12,18.06,6.20,2.12,2.96,0.16,8,13.72
1,1,3,1,1,0.13,0.61,1.65,8.37,0.13,0.65,27.17,0.00,16.59,16.59,10.58,0.00,0.00,0.00,2,12.95
1,1,3,2,1,0.13,0.64,1.38,6.51,0.11,0.77,19.52,0.00,8.95,8.95,10.57,0.00,0.00,0.00,2,9.06
1,1,3,3,1,0.17,0.61,4.49,7.60,0.27,0.75,24.51,5.46,8.71,14.17,3.90,0.00,6.44,0.45,4,11.78
1,1,3,4,1,0.14,0.64,1.74,7.51,0.15,0.65,26.72,7.42,7.58,21.22,0.00,2.42,3.09,0.15,6,11.65
1,2,1,1,1,0.40,0.40,"NA","NA","NA","NA",40.95,11.20,12.90,36.19,0.00,2.72,2.03,0.06,13,"NA"
1,2,1,2,1,0.25,0.52,8.90,1.87,0.74,1.36,41.22,12.35,12.33,35.72,0.00,2.92,2.58,0.07,15,5.12
1,2,1,3,1,0.29,0.50,10.18,1.81,0.85,1.30,40.02,10.67,12.24,35.01,0.00,2.64,2.37,0.07,14,5.59
1,2,1,4,1,0.37,0.42,12.91,1.56,1.08,0.98,40.79,14.14,14.71,34.56,0.00,3.17,3.05,0.09,12,7.03
1,2,2,1,1,0.41,0.37,14.43,0.93,1.20,0.85,38.24,9.29,12.34,33.04,0.00,2.46,2.74,0.08,14,7.47
1,2,2,2,1,0.54,0.30,18.41,0.96,1.53,0.77,38.27,14.40,6.43,23.48,12.64,2.15,0.00,0.00,9,8.41
1,2,2,3,1,0.36,0.44,12.45,1.81,1.04,1.01,38.70,14.22,6.68,24.06,12.18,2.46,0.00,0.00,9,6.95
1,2,2,4,1,0.28,0.48,9.11,1.60,0.83,0.98,48.32,17.98,7.44,28.71,16.75,2.86,0.00,0.00,9,5.90
1,2,3,1,1,0.21,0.56,6.10,1.53,0.62,1.16,34.12,12.86,4.96,20.34,12.07,1.70,0.00,0.00,9,4.29
1,2,3,2,1,0.43,0.34,10.71,0.74,1.23,0.60,39.05,13.07,6.58,22.08,14.68,2.29,0.00,0.00,9,6.25
1,2,3,3,1,0.42,0.38,11.52,1.95,1.20,0.72,"NA","NA","NA","NA","NA","NA","NA","NA","NA",7.02
1,2,3,4,1,0.15,0.60,4.63,1.90,0.45,1.25,"NA","NA","NA","NA","NA","NA","NA","NA","NA",3.85
1,3,1,1,1,0.28,0.55,16.66,1.98,1.47,1.23,38.56,10.32,11.87,33.30,0.00,2.69,2.57,0.08,15,6.90
1,3,1,2,1,0.31,0.50,12.29,1.22,1.58,1.24,39.28,12.32,10.21,28.29,6.57,2.12,2.30,0.08,15,4.78
1,3,1,3,1,0.31,0.51,13.53,1.69,1.61,1.13,36.36,12.71,11.48,29.58,0.00,3.12,3.66,0.12,14,5.56
1,3,1,4,1,0.34,0.49,10.19,0.82,1.71,0.95,39.70,11.54,11.19,27.91,7.17,2.57,2.06,0.07,14,4.13
1,3,2,1,1,0.36,0.47,19.67,1.52,1.75,1.32,38.99,11.17,11.64,27.64,6.69,2.51,2.15,0.08,14,6.89
1,3,2,2,1,0.30,0.52,15.30,1.89,1.49,1.33,38.72,11.18,12.62,27.39,6.44,2.70,2.20,0.08,12,6.10
1,3,2,3,1,0.26,0.57,11.82,1.53,1.34,1.20,38.59,12.05,11.26,26.76,6.52,2.42,2.89,0.11,12,5.24
1,3,2,4,1,0.28,0.54,15.46,1.83,1.41,1.37,38.97,11.33,10.74,27.23,6.30,2.48,2.96,0.11,15,6.22
1,3,3,1,1,0.32,0.49,7.91,2.03,1.59,0.83,38.13,11.84,9.99,26.49,7.44,2.30,1.90,0.07,13,4.09
1,3,3,2,1,0.32,0.53,6.51,0.80,1.57,0.57,36.80,9.21,11.25,30.45,0.00,2.68,3.66,0.12,13,3.41
1,3,3,3,1,0.28,0.52,8.39,1.03,1.44,1.22,36.37,10.34,9.71,24.77,5.38,2.13,4.09,0.17,14,3.54
1,3,3,4,1,0.33,0.47,8.18,2.17,1.65,0.88,36.64,10.64,11.11,25.37,5.66,2.32,3.28,0.13,13,4.09
1,1,1,1,2,0.15,0.62,1.31,7.45,0.09,0.80,"NA","NA","NA","NA","NA","NA","NA","NA","NA",9.80
1,1,1,2,2,0.47,0.26,9.64,2.76,0.81,0.40,20.39,0.00,8.28,8.28,12.11,0.00,0.00,0.00,2,10.29
1,1,1,3,2,0.14,0.63,1.57,7.40,0.14,0.83,38.26,16.13,5.71,25.63,7.96,2.74,1.94,0.08,9,9.19
1,1,1,4,2,0.17,0.57,3.51,6.64,0.33,0.90,"NA","NA","NA","NA","NA","NA","NA","NA","NA",8.23
